latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
10.579965,122.61905,157.0,28800,Asia/Manila,GMT+8

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),wind_speed_10m (m/s),wind_direction_10m (°)
2022-01-20T16:00,27.8,74,0.00,5.28,37
2022-01-20T17:00,26.9,79,0.00,4.94,36
2022-01-20T18:00,25.8,85,0.00,4.79,29
2022-01-20T19:00,25.6,85,0.00,4.96,28
2022-01-20T20:00,25.8,86,0.00,4.44,23
2022-01-20T21:00,25.5,85,0.00,4.40,17
2022-01-20T22:00,25.0,87,0.00,4.32,13
2022-01-20T23:00,24.5,89,0.00,4.37,16
2022-01-21T00:00,24.5,90,0.00,4.71,17
2022-01-21T01:00,24.5,92,0.00,4.62,22
2022-01-21T02:00,24.1,94,0.00,4.37,20
2022-01-21T03:00,24.0,94,0.00,4.22,14
2022-01-21T04:00,23.5,97,0.00,3.93,7
2022-01-21T05:00,23.4,97,0.00,4.08,11
2022-01-21T06:00,23.5,96,0.00,4.24,15
2022-01-21T07:00,24.4,92,0.00,4.46,20
2022-01-21T08:00,26.4,83,0.00,5.59,29
2022-01-21T09:00,27.5,76,0.00,5.19,28
2022-01-21T10:00,28.7,69,0.00,5.75,31
2022-01-21T11:00,29.5,64,0.00,6.02,36
2022-01-21T12:00,29.8,64,0.00,6.16,36
2022-01-21T13:00,29.8,64,0.00,6.19,31
2022-01-21T14:00,29.4,66,0.00,6.35,28
2022-01-21T15:00,28.5,70,0.00,6.31,27
2022-01-21T16:00,27.6,75,0.00,6.31,29
2022-01-21T17:00,26.8,80,0.00,5.95,25
2022-01-21T18:00,25.8,84,0.00,4.87,19
2022-01-21T19:00,25.5,86,0.00,4.93,18
